topic,script,source_path,description,run_command,has_docstring
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/a1_burn_integral_theorem_attempt.py,a1_burn_integral_theorem_attempt.py,A=1 lift / D2 burn-integral theorem attempt.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/a1_burn_integral_theorem_attempt.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/a1_completion_d2_lift_audit.py,a1_completion_d2_lift_audit.py,A=1 COMPLETION / D2 RELIC-EXHAUSTION LIFT AUDIT.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/a1_completion_d2_lift_audit.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/a1_episode_count_closure_attempt.py,a1_episode_count_closure_attempt.py,A=1 global episode-count closure attempt.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/a1_episode_count_closure_attempt.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/a1_single_sweep_stock_theorem.py,a1_single_sweep_stock_theorem.py,Single-sweep stock theorem audit for the A=1 / D2 completion premise.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/a1_single_sweep_stock_theorem.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/areq_handoff_fluctuation_determinant.py,areq_handoff_fluctuation_determinant.py,A_req register-handoff fluctuation determinant — PRE-REGISTERED theorem attempt (R1).,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/areq_handoff_fluctuation_determinant.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/areq_traffic_hessian_attempt.py,areq_traffic_hessian_attempt.py,A_req — first free->conditional CONVERSION ATTEMPT under the traffic-operator programme (R1).,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/areq_traffic_hessian_attempt.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/boltzmann_brain_suppression.py,boltzmann_brain_suppression.py,BOLTZMANN-BRAIN SUPPRESSION in the finite-QEC substrate.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/boltzmann_brain_suppression.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/boundary_printing_cooling_schedule.py,boundary_printing_cooling_schedule.py,"THE BOOT COOLING SCHEDULE xi(R) — the printer IS the cooler, so the cooling rate is not free.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/boundary_printing_cooling_schedule.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/boundary_printing_ledger.py,boundary_printing_ledger.py,"THE BOUNDARY-PRINTING LEDGER — expansion as a printer, and its one decisive exposure.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/boundary_printing_ledger.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/boundary_printing_mu_fss.py,boundary_printing_mu_fss.py,FINITE-SIZE-SCALING extrapolation of the KZ exponent mu (deep-box grid; closes item 148/paper §6).,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/boundary_printing_mu_fss.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/boundary_printing_mu_measurement.py,boundary_printing_mu_measurement.py,MEASURING mu — the KZ exponent the whole boundary-printing program bottlenecks on (item 148).,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/boundary_printing_mu_measurement.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/boundary_printing_no_squeeze.py,boundary_printing_no_squeeze.py,"NO-SQUEEZING THEOREM, RUNG 1 — the graviton is the crystal's shear phonon, and the printing front has no shear rigidity.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/boundary_printing_no_squeeze.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/boundary_printing_q3_bracing.py,boundary_printing_q3_bracing.py,"NO-SQUEEZING THEOREM, RUNG (iii) — the bracing IS the Q_3-cell angular locking, not a stand-in.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/boundary_printing_q3_bracing.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/boundary_printing_rigidity_percolation.py,boundary_printing_rigidity_percolation.py,"NO-SQUEEZING THEOREM, RUNG (ii) [the decisive one] — shear-floppiness is a scale-invariant BULK phase: rigidity percolation on the growing crystal.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/boundary_printing_rigidity_percolation.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/boundary_printing_suppression_lag.py,boundary_printing_suppression_lag.py,"NO-SQUEEZING THEOREM, RUNG (i) — the tensor suppression factor from the crystallisation lag.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/boundary_printing_suppression_lag.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/boundary_printing_tensor_prediction_audit.py,boundary_printing_tensor_prediction_audit.py,Boundary-printing tensor prediction audit.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/boundary_printing_tensor_prediction_audit.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/boundary_printing_tensor_theorem.py,boundary_printing_tensor_theorem.py,THE TENSOR THEOREM FOR BOUNDARY PRINTING — does a scalar printer source spin-2 modes?,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/boundary_printing_tensor_theorem.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_billing_exponentiation_selection.py,cc_billing_exponentiation_selection.py,"THE BILLING-EXPONENTIATION SELECTION — form (1) alpha0*C selected as EXACT; the last formal residual of the CC final tier closes, and the two-route M_P budget tightens 1.7x.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_billing_exponentiation_selection.py,yes
